item_name,item_price,free_shipping,shoe_size,number_of_images,seller_rating,item_url
Social Status X NIKE Free Lunch Dunk Chocolate Milk SZ 13 DJ1173-700 DS,$280.00,FALSE,13,5,634,https://www.ebay.com/itm/154668163370?epid=14050253750&hash=item2402f0e12a%3Ag%3A0igAAOSwFzdhb1aa&LH_ItemCondition=1000
"SOCIAL STATUS X NIKE FREE LUNCH DUNK MID ""CHOCOLATE MILK"" DJ1173-700 SZ 9.5 SB",$249.95,TRUE,9.5,3,169,https://www.ebay.com/itm/284455992989?epid=5050263488&hash=item423ae5fe9d%3Ag%3ANPgAAOSwdB1hRO9G&LH_ItemCondition=1000
Social Status x Nike Dunk Mid ‘Chocolate Milk’ (Size 5.5 Men's),$270.00,FALSE,5.5,10,35,https://www.ebay.com/itm/144218036157?epid=26050264777&hash=item21941097bd%3Ag%3AergAAOSwywlhT1YE&LH_ItemCondition=1000
Nike x Social Status Dunk Mid Free Lunch Chocolate Milk - Size US 11,$299.99,TRUE,11,5,371,https://www.ebay.com/itm/353742583579?epid=10050260686&_trkparms=ispr%3D1&hash=item525cb3771b%3Ag%3AMYgAAOSwlL5hdxTJ&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd0ReTLyM7cxPnI6zs468EC6GWlDWlpE9lh7FJU1WOVz9qXnSJ3coGUnNi2oJr4hqaHP1omauobWDrGhGRBQtg5Smx82KP9gEBH80GTtjwa4jNwrv%252F3lnF13YX0uAp6heiatxijAjz3X4dsyj9SJuI1PC0x51OeZvcbLExLSwmuzGz0SSfU4DvVghherZzae57YDB5xtmUrGfUfymkS70BFRfJMf2azrK5sYPkKL4FLCYtwkQFQLkJkjoeZVaG9r5uW%252BkWMJYkNVN3puYMEsBWVXBVAtK8%252FhsEyJDNBMZIgp1Qhsu0xRWl6FJZLn%252Fn3UClh62DmE%252FmlHDcN4FNXZYloKSrH79RvrB2jRq3JLWPZaKyRNearmN9r6t8msPkDfhpqeL7BwjpELixwPSDOt4FzpnPHF2b2gk052r%252FF3fMnvrmh9OCnirrFkTKLqA147xEGbRXB3FcnDoyGC1q2xjQTJSZ0g8%252Bw9sIqF88pk7NRE%252BwOUiA4o38d0mAI3AOA53ICHZEpcUEHVS15I%252B%252B6bdEjXfJDvJZtT4Ff4g%252BuvEXx0MRFR1jyDRcNRh93qmfb4tizPakMruLqDBBhH%252FBwgnSNJUZlPN0xOedfXhQpd4XLL7RmEbmKNCY7cbsOkbfjfQGdCj4%252FK0%252Bs1zk3sXMxZqZoiGTVhBEjlny14s6nhKgxgkNxsQ4O7UlmGNFln%252B%252FXOs8dzyGIBAKK46dN42peoBw0GgzyknpYsW6DSQAD6u8R8CVRjiQFFsrMIKBRVCnAcQtamntA%252B8MyFwaxkI2g3M0IpcRBMBJNJxc%252BP0YlAbN2DceSdLYn5GxNe%252FE5R8JWszs2oGjAWpVoOKPy8t97fGxUaYJT2Gpj9X38shHSuuMDE%253D%7Cclp%3A2334524%7Ctkp%3ABFBM0I31-Zhf&LH_ItemCondition=1000
Nike Dunk Low | Social Status | Free Lunch Chocolate Milk |  DM3349-700 | 2.5Y,$129.99,FALSE,2.5,1,77,https://www.ebay.com/itm/274961494598?_trkparms=ispr%3D1&hash=item4004fb7246%3Ag%3AjkAAAOSwmAJhT2fH&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6mKUxVIx%252Fyq6jO7F9n7wAUvuKRdyT4MYn5fHBkkPHyjXSYzXCt60%252FroJELltbYyIpLbw2UfTMp5gdXDmMTlWsfO23tQrdMFhp3YhQbCglN7L%252BmoCm4GfUVeilTFeaaeyQs0%252FKtNW24mnSrP2KyXOnhrK5Dw5Sm%252FNobZVITzymAxGfYFEQNIQwLF6Uf8puptIdKdyyS7YuDRdHSkq2OpnmYsXf7hEt4j0GJmvOokVrJ27DHzbkoYeKezWxbZJIV5%252FeZBFKiNqZn1B0jOHxGiokrguzAHf8d8eimzhglMtv6Z%252BIMk037vtaawLiP2waS7O7Bx%252FcqNQRotYeUpNgQV4e6tRCG1ridJMduvRLR0XiOTEPMNHRrwwqvgGp%252FrjIDR3J2BtdVGDNxZlqwVB15bjRUntQZ00vAq5i5xls6Aj%252Bq0b%252FDCt2s2DyWknPZPNSslsMGxRWp%252FwS%252FdFr65mKg18s20d50U61TFY4954UAaJ80q4TNImPMIUYm6lD9Fh1y3Z%252BUk%252BIqSxG49xuGUt6Sbp%252FCnBBHEWS7FTII102C0h7TwZb%252FHv%252FdeiA%252FkpfzapeLj9gY9cCBShkAsX3JltQY81UJZlv17li4%252BHTK1P4GiuUlkxtSLUVNS%252BNVS7m3t49UlDazYch3Gq3CrcnIjhE01lCcTIzEgNeLJe5%252F5RrvTI%252FVJOBMaXR04i9UtT%252BCsrM3Vvn%252F%252Fl7ONjhK%252B%252FY8oofogLTvYqsUdQOLQiUPPHBKdunm7gITrVpjaLD3Dehs%252B1uOdg5ZrLYeu6eT095waddnuYALauxbIl97gx7zGxnsP2cM9f6XgzeKCfU0Qlt4x2sSl%252FJ4QA%252BIuua1o5qBPQA7ZW3xA%253D%7Cclp%3A2334524%7Ctkp%3ABFBM0I31-Zhf&LH_ItemCondition=1000
DS Nike X Social Status Free Lunch Dunk “Chocolate Milk” Size 10C TD BRAND NEW*,$199.50,FALSE,10C,8,111,https://www.ebay.com/itm/234238667816?_trkparms=ispr%3D1&hash=item3689b66c28%3Ag%3ArYIAAOSwmVVhaXGW&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSRAQR8FABHjfpFoyRlXhWmQt9%252BtYH5edwGwW56sqSRlxX%252Fd25mAllofJRScY3bnQMN%252BMesi8IlLVG2q%252FxpKNNRmJx2OT1cIwMn6hSDIrbJff6zDibl%252BQEUzAhGql9usPd9yQFsR4yNAbNUAx6eh6kx1oaKLk9MHsmiy0lBka%252F93NLql7YxaI8zPDRl8ehAM%252F8X5eifGgiifBIHHctdR0b3giKHjBmYp44Xpy5N8mf7IBk24WaSaGVzIIms%252F110qHKdGZzTiqP2B1DrY0tUg%252FgSKwiokIHjUNScUKTNAsEllqhZQ3ZorETMuti83L8sxP1ZWkjsTKkOZGGMslERNMEdyby8OnEJIsl6suLC2t64%252Fi0%252FCd8B6WnclL%252FEqQ09hIote668gChS0I64gBJV7RWnECz%252FUVtRDiuiQMHDJWKoNcvCF45Rp64XSe2k6mfsRHoKFIp2Pamh95oL2Eqy0qFYFjoRiVMPSYsyNdyWdU4SXlZskQ8v4HDCgNSj1iz%252FmjLYNWxxNtY%252FaI9C9kg82m7pOn3eP5WBWCoORFxcUbqjpJiqafwWI48Xfv4bBijqmUbn7sEXGdpAHwY0irYryOtRaib1w53%252F5cXpjT4PileWFttFOD%252BCZ31CLySMssP1aTE%252Fa%252F5i5vMmoqdDQDkFlgD2fL%252Bsu5o%252BULi8ZibBGLYqeZ0nX1uFnQomUG3ibUCOW2NANf5qR7ttMKtb5GC%252FScn7qVAQ8FjN5mLH%252BzCpmi4%252BsL4Yy7L8sNiDB%252FTuxjnrtnA11iq7GEAsyUjo1o%252FMX643beU9pItV38t70yu5i6teavbLFsJ12oYM7kTJC9oAVEGTTylo%252FXTJB2Imj7A3HYAJ2gtbTiFydN8uZKVTJtaOBc%253D%7Cclp%3A2334524%7Ctkp%3ABFBM0I31-Zhf&LH_ItemCondition=1000
Social Status x Nike Dunk Mid Free Lunch Chocolate Milk Size 10.5,$250.00,FALSE,10.5,1,3,https://www.ebay.com/itm/165122440110?hash=item2672107bae%3Ag%3A6cQAAOSwwJ1hZGPt&LH_ItemCondition=1000
Nike Dunk Low x Social Status Chocolate Milk PS Size 1Y *IN HAND SHIPS TODAY!*,$130.00,FALSE,2,8,38,https://www.ebay.com/itm/234207470785?_trkparms=ispr%3D1&hash=item3687da64c1%3Ag%3AApMAAOSwNwZhUo73&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSRAQR8FABHjfpFoyRlXhWmQx1PQZWeAL1z1IhYkPh%252Fqbd%252F%252FkA1J5lxByUna3Mzg3OZqnPYJO8YcWKy5f%252B1UTBh0XkgceKQ3z643UK0AYkJK6NpzNpUz6hIAhrK%252Bn1CKaDiB1TQZiJ8LQ3l%252BIqsd91sv1APBFFVlTZ7iaCHYAAJkQoyKuqTy6k1h7Tgeb1Mg8YmrXQgtlpoLHV7A97JIJCUSqqL7dG6R2OtFOM4AKxL8eoe32N5K74d%252BmSovUOoPr%252B4Ej8mEkzmP4y1qRZODVVg1Wpzjvw79d2FUEl8o2QaD1G1UNdai2IDClxj8HJvejwFaS0ea36Tbgc1xFpB%252BpSH91ziaxlLZIIV6mKa3IUQbJ9rjhWh%252B%252BpxlX6HjgL3FytIgmw5tIgFO6%252FM2AKPSFC7aA2p5HkmMKIWaNIcpPhLB9Ihik0poXNg4K3p6MojqrLiHMC%252FxCFU4RcZexeyK4pD65VIeTQIc37pMAc4vQd%252FBXQHLUiNPdYVUXRjqhUa1AA3MnlNeABbUpeRyPYGmztKG2ND5CFqxdd7Mo8xCWm0UeH60NNydofnHmoBDvuGobnwnnxy8RJvgdrFf4Dshp9AyvMW8Bhto7en6hswNFin%252BnyPWiponSc9xZdTvc%252BXparuEU0%252FNKukoMW%252FGInglJJ%252BcSqOVF1gFFEYe5UmaXyLm%252BonXm8mmU3ANYt%252Fq5MKUlwf3sByTXF0hX3uNuQMKEj2yBCU%252Fm56pAYW556yDYaK4IRfWN8xEptnRerO2ek%252FkBMWzyqbMLU%252F8SZskCnRoP2LheCPwJwWc3K0XVuPu1rAqMSILmksq4ercXiOYhxoGAB%252B5Y9ZRmlax7wBKl6Ab4M3IDwuWhtvc8sYL21Lg7Ihw8%253D%7Cclp%3A2334524%7Ctkp%3ABFBM0I31-Zhf&LH_ItemCondition=1000
Nike Dunk Mid Social Status Free Lunch Chocolate Milk TD Size 8C IN HAND!! 🔥🔥,$168.88,TRUE,8,6,8,https://www.ebay.com/itm/353697275435?hash=item525a001e2b%3Ag%3AFt4AAOSwCmthVN7i&LH_ItemCondition=1000
Social Status x Nike Free Lunch Dunk Chocolate Milk - TD Size 9C - IN HAND!,$101.00,FALSE,Size 9C,9,375,https://www.ebay.com/itm/334177736550?hash=item4dce8b9766%3Ag%3AOWkAAOSwVRZhS7lE&LH_ItemCondition=1000
 Nike Dunk Mid X Social Status - Free Lunch Chocolate Milk Size US 10,$249.00,FALSE,10,4,132,https://www.ebay.com/itm/284488994022?hash=item423cdd8ce6%3Ag%3AjbgAAOSwmPphYnAX&LH_ItemCondition=1000
social status x nike dunk mid chocolate milk 5.5mens,$205.00,FALSE,5.5,3,0,https://www.ebay.com/itm/403246336381?hash=item5de35ac97d%3Ag%3ALT0AAOSwX0lhTLSw&LH_ItemCondition=1000
Nike Dunk Mid Social Status Free Lunch Chocolate Milk Size 14. READY TO SHIP NOW,$250.00,FALSE,14,11,23,https://www.ebay.com/itm/373755205172?hash=item57058bd634%3Ag%3AUHsAAOSwylRhZyVa&LH_ItemCondition=1000
Nike Dunk Mid Social Status Free Lunch Chocolate Milk - Size 9.5 - Brand New,$265.00,FALSE,9.5,7,230,https://www.ebay.com/itm/174998011432?hash=item28beb1be28%3Ag%3AbkMAAOSwGqZher3M&LH_ItemCondition=1000
"Social Status x Nike Free Lunch Dunk ""Chocolate Milk"" - Size 4.5 MENS DJ1173-700",$255.00,FALSE,4.5,12,130,https://www.ebay.com/itm/304197330600?epid=21050261941&hash=item46d392e6a8%3Ag%3ARsUAAOSw37RhcT5I&LH_ItemCondition=1000
Nike Dunk Mid Social Status Free Lunch Chocolate Milk Size 9 Confirmed Order,$239.99,TRUE,9,6,73,https://www.ebay.com/itm/403149050255?hash=item5ddd8e518f%3Ag%3APy0AAOSwM1RhO33p&LH_ItemCondition=1000
Social Status x Nike Dunk Mid Free Lunch Chocolate Milk Size 8,$230.00,FALSE,8,4,20,https://www.ebay.com/itm/133908940535?epid=11050250164&hash=item1f2d9846f7%3Ag%3AzdIAAOSwSVZhbicq&LH_ItemCondition=1000
